2025-09-27 05:35:01,716 - ✅ Normal traffic detected | Flow: {'duration': 90.009487, 'bytes_per_sec': 66.22635233994835, 'packets_per_sec': 0.5666069399995581, 'fwd_packets': 31.0, 'bwd_packets': 20.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:02,251 - ✅ Normal traffic detected | Flow: {'duration': 105.158296, 'bytes_per_sec': 1771.224973063466, 'packets_per_sec': 14.007454057642773, 'fwd_packets': 632.0, 'bwd_packets': 841.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:02,432 - ✅ Normal traffic detected | Flow: {'duration': 105.158671, 'bytes_per_sec': 1595.0562935509142, 'packets_per_sec': 14.016913545816873, 'fwd_packets': 633.0, 'bwd_packets': 841.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:02,441 - ✅ Normal traffic detected | Flow: {'duration': 100.008838, 'bytes_per_sec': 65.38422134251775, 'packets_per_sec': 0.5599505115737872, 'fwd_packets': 34.0, 'bwd_packets': 22.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,156 - ✅ Normal traffic detected | Flow: {'duration': 84.618192, 'bytes_per_sec': 1629.117767016341, 'packets_per_sec': 13.992099220330678, 'fwd_packets': 693.0, 'bwd_packets': 519.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,257 - ✅ Normal traffic detected | Flow: {'duration': 105.643682, 'bytes_per_sec': 1590.0430278452432, 'packets_per_sec': 13.980959126358357, 'fwd_packets': 845.0, 'bwd_packets': 632.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,469 - ✅ Normal traffic detected | Flow: {'duration': 105.151909, 'bytes_per_sec': 1773.662520953376, 'packets_per_sec': 14.02732498180323, 'fwd_packets': 844.0, 'bwd_packets': 631.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,523 - ✅ Normal traffic detected | Flow: {'duration': 90.006642, 'bytes_per_sec': 66.92839401785481, 'packets_per_sec': 0.566624849752755, 'fwd_packets': 31.0, 'bwd_packets': 20.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,524 - ✅ Normal traffic detected | Flow: {'duration': 105.151909, 'bytes_per_sec': 1773.662520953376, 'packets_per_sec': 14.02732498180323, 'fwd_packets': 844.0, 'bwd_packets': 631.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,596 - ✅ Normal traffic detected | Flow: {'duration': 120.103805, 'bytes_per_sec': 61.1138006826678, 'packets_per_sec': 0.5162201147582294, 'fwd_packets': 38.0, 'bwd_packets': 24.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,627 - ✅ Normal traffic detected | Flow: {'duration': 120.116242, 'bytes_per_sec': 59.417443312953466, 'packets_per_sec': 0.5078413958372091, 'fwd_packets': 37.0, 'bwd_packets': 24.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,674 - ✅ Normal traffic detected | Flow: {'duration': 13.022026, 'bytes_per_sec': 1814.080236055434, 'packets_per_sec': 14.437077609889583, 'fwd_packets': 82.0, 'bwd_packets': 106.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,698 - ✅ Normal traffic detected | Flow: {'duration': 13.0198, 'bytes_per_sec': 1630.1325673205426, 'packets_per_sec': 14.362739827032673, 'fwd_packets': 81.0, 'bwd_packets': 106.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,714 - ✅ Normal traffic detected | Flow: {'duration': 120.108943, 'bytes_per_sec': 59.3211448043465, 'packets_per_sec': 0.5078722572722999, 'fwd_packets': 37.0, 'bwd_packets': 24.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,738 - ✅ Normal traffic detected | Flow: {'duration': 120.110086, 'bytes_per_sec': 60.28636096389108, 'packets_per_sec': 0.5078674242228084, 'fwd_packets': 37.0, 'bwd_packets': 24.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,770 - ✅ Normal traffic detected | Flow: {'duration': 120.113253, 'bytes_per_sec': 59.3190161954901, 'packets_per_sec': 0.5078540333929679, 'fwd_packets': 37.0, 'bwd_packets': 24.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,789 - ✅ Normal traffic detected | Flow: {'duration': 120.111589, 'bytes_per_sec': 59.319837988322675, 'packets_per_sec': 0.5078610690930082, 'fwd_packets': 37.0, 'bwd_packets': 24.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,816 - ✅ Normal traffic detected | Flow: {'duration': 120.117244, 'bytes_per_sec': 60.19119119982473, 'packets_per_sec': 0.5078371595005959, 'fwd_packets': 37.0, 'bwd_packets': 24.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:35:03,831 - ✅ Normal traffic detected | Flow: {'duration': 80.07171, 'bytes_per_sec': 64.6920116980142, 'packets_per_sec': 0.5495074352727074, 'fwd_packets': 26.0, 'bwd_packets': 18.0} | Prediction: normal | Confidence: 1.000 | Threat: low
